LSOA11CD,LSOA11NM,WD20CD,WD20NM,LAD20CD,LAD20NM,FID
E01000142,Barnet 040B,E05000045,Childs Hill,E09000003,Barnet,28084
E01000107,Barking and Dagenham 010C,E05000041,Village,E09000002,Barking and Dagenham,28085
E01000241,Barnet 031C,E05000055,Hendon,E09000003,Barnet,28086
E01000329,Bexley 017C,E05011219,Bexleyheath,E09000004,Bexley,28087
E01000192,Barnet 018A,E05000050,Edgware,E09000003,Barnet,28088
E01000044,Barking and Dagenham 016D,E05000031,Eastbury,E09000002,Barking and Dagenham,28089
E01000143,Barnet 041D,E05000045,Childs Hill,E09000003,Barnet,28091
E01000108,Barking and Dagenham 010D,E05000041,Village,E09000002,Barking and Dagenham,28092
E01000242,Barnet 032B,E05000055,Hendon,E09000003,Barnet,28093
E01000243,Barnet 032C,E05000055,Hendon,E09000003,Barnet,28094
E01000244,Barnet 032D,E05000055,Hendon,E09000003,Barnet,28095
E01000245,Barnet 032E,E05000055,Hendon,E09000003,Barnet,28096
E01000246,Barnet 002B,E05000056,High Barnet,E09000003,Barnet,28097
E01000247,Barnet 002C,E05000056,High Barnet,E09000003,Barnet,28098
E01000248,Barnet 001A,E05000056,High Barnet,E09000003,Barnet,28099
E01000249,Barnet 001B,E05000056,High Barnet,E09000003,Barnet,28100
E01000250,Barnet 001C,E05000056,High Barnet,E09000003,Barnet,28101
E01000251,Barnet 002D,E05000056,High Barnet,E09000003,Barnet,28102
E01000252,Barnet 002E,E05000056,High Barnet,E09000003,Barnet,28103
E01000253,Barnet 007B,E05000056,High Barnet,E09000003,Barnet,28104
E01000254,Barnet 001D,E05000056,High Barnet,E09000003,Barnet,28105
E01000255,Barnet 017A,E05000057,Mill Hill,E09000003,Barnet,28106
E01000256,Barnet 016A,E05000057,Mill Hill,E09000003,Barnet,28107
E01000257,Barnet 017B,E05000057,Mill Hill,E09000003,Barnet,28108
E01000258,Barnet 016B,E05000057,Mill Hill,E09000003,Barnet,28109
E01000259,Barnet 025D,E05000057,Mill Hill,E09000003,Barnet,28110
E01000260,Barnet 025E,E05000057,Mill Hill,E09000003,Barnet,28111
E01000261,Barnet 017C,E05000057,Mill Hill,E09000003,Barnet,28112
E01000262,Barnet 017D,E05000057,Mill Hill,E09000003,Barnet,28113
E01000263,Barnet 016C,E05000057,Mill Hill,E09000003,Barnet,28114
E01000264,Barnet 016D,E05000057,Mill Hill,E09000003,Barnet,28115
E01000265,Barnet 011A,E05000058,Oakleigh,E09000003,Barnet,28116
E01000266,Barnet 011B,E05000058,Oakleigh,E09000003,Barnet,28117
E01000267,Barnet 005A,E05000058,Oakleigh,E09000003,Barnet,28118
E01000268,Barnet 005B,E05000058,Oakleigh,E09000003,Barnet,28119
